of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
invulnerable|JJ|He felt invulnerable in the armor.|неуязвимый|Он чувствовал себя неуязвимым в доспехах.
cheapen|VV0|Don't cheapen the brand.|удешевлять|Не удешевляй бренд.
listserv|NN|The listserv was active.|список рассылки|Список рассылки был активен.
ultralight|JJ|The ultralight plane soared.|ультралегкий|Ультралегкий самолет парил.
competently|RR|He handled the task competently.|компетентно|Он компетентно справился с задачей.
cream|VV0|They cream the butter.|взбивать|Они взбивают масло.
nameplate|NN|The nameplate was engraved.|табличка|Табличка была выгравирована.
rule-making|NN|The rule-making was thorough.|разработка правил|Разработка правил была тщательной.
higher-up|NN|The higher-up made the decision.|начальник|Начальник принял решение.
prude|NN|She was called a prude.|ханжа|Ее назвали ханжой.
bandana|NN|He wore a red bandana.|бандана|Он носил красную бандану.
impactful|JJ|The speech was impactful.|влиятельный|Речь была влиятельной.
mic|NN|The mic was turned on.|микрофон|Микрофон был включен.
demotion|NN|He received a demotion.|понижение|Он получил понижение.
gentlemanly|JJ|He behaved in a gentlemanly manner.|джентльменский|Он вел себя джентльменски.
beady|JJ|His beady eyes darted around.|блестящий|Его блестящие глаза метались.
procreate|VV0|Animals procreate in the wild.|размножаться|Животные размножаются в дикой природе.
oomph|NN|The car lacked oomph.|энергия|Машине не хватало энергии.
lakeside|NN|They built a cabin by the lakeside.|берег озера|Они построили хижину на берегу озера.
russet|JJ|The russet apple was delicious.|ржавый|Ржавое яблоко было вкусным.
parentage|NN|His parentage was unknown.|происхождение|Его происхождение было неизвестно.
