Der Hund ist groß.|The dog is big.
Er hat Sehnsucht nach ihr.|He longs for her.
Er legt die Jacke ab.|He takes off the jacket.
Das Wetter ist furchtbar.|The weather is terrible.
Die Gründung der Firma war 2000.|The company was founded in 2000.
Der Architekt entwirft das Gebäude.|The architect designs the building.
Die Themen differenzieren sich.|The topics differentiate.
Die Firma gewährleistet Qualität.|The company guarantees quality.
Das Regal ist voll.|The shelf is full.
Er trägt einen Rucksack.|He carries a backpack.
Das Kind ist sensibel.|The child is sensitive.
Seine Vision ist klar.|His vision is clear.
Das vordere Zimmer ist frei.|The front room is free.
Die Börse ist offen.|The stock market is open.
Die Orientierung ist hilfreich.|The orientation is helpful.
Der Ball schwebt im Wasser.|The ball floats in the water.
Der Teller ist sauber.|The plate is clean.
Er unterrichtet Mathematik.|He teaches mathematics.
Er absolviert das Studium.|He graduates from the study.
Die Kosten sind einbezogen.|The costs are included.
Die Fettsäure ist gesund.|The fatty acid is healthy.
Der Tag ist herrlich.|The day is marvelous.
Die Sonne geht unter.|The sun goes down.
Es gibt Einschränkungen.|There are restrictions.
Der Lehrer erteilt eine Aufgabe.|The teacher gives a task.
Die Ergebnisse gehen hervor.|The results come from it.
Er ignoriert die Warnung.|He ignores the warning.
Der Stamm ist dick.|The trunk is thick.
Er presst den Saft.|He presses the juice.
Das Material ist radioaktiv.|The material is radioactive.
Sie ist unsicher.|She is uncertain.
Das Wiedersehen war emotional.|The reunion was emotional.
Ich möchte dich wiedersehen.|I want to see you again.
Das Datum ist falsch.|The date is wrong.
Der Kellner bringt das Essen.|The waiter brings the food.
Die Kiste ist schwer.|The box is heavy.
Wir müssen sie unterbringen.|We need to accommodate them.
Er vermag es zu tun.|He is capable of doing it.
Er ist immer fröhlich.|He is always cheerful.
Das Grab ist alt.|The grave is old.
Sie motiviert ihre Schüler.|She motivates her students.
Die Daten sind quantitativ.|The data is quantitative.
Das Land ist gespalten.|The country is divided.
Das Vorhaben ist groß.|The plan is big.
Die Einigung war schwer.|The agreement was difficult.
Das war ein heimlicher Plan.|That was a secret plan.
Der Pilz ist giftig.|The mushroom is poisonous.
Die Route ist geplant.|The route is planned.
Der Supermarkt ist voll.|The supermarket is full.
Der Ausgang ist links.|The exit is on the left.
Der Beschluss steht fest.|The decision is final.
Die Bundeswehr ist stark.|The Armed Forces are strong.
Der Kerl ist nett.|The fellow is nice.
Das Gerät ist mechanisch.|The device is mechanical.
Der Gewinn hat sich verdoppelt.|The profit has doubled.
Ein Ausgleich ist nötig.|A balance is necessary.
Die Formen sind symmetrisch.|The shapes are symmetrical.
Er wurde angeklagt.|He was accused.
Das ist eine Behinderung.|That is an obstruction.
Das Dokument ist wichtig.|The document is important.
Er staunte über das Ergebnis.|He was astonished by the result.
Die Varianz ist hoch.|The variance is high.
Er wendet sich dem Problem zu.|He devotes himself to the problem.
Der Ast wurde abgeschnitten.|The branch was cut off.
Das ist anscheinend richtig.|That is apparently correct.
Die Demonstration war friedlich.|The demonstration was peaceful.
Die Linse ist klar.|The lens is clear.

Die Sprache ist Polnisch.|The language is Polish.
Der Posten ist frei.|The position is open.
Er schaut zu.|He watches.
Der Regen hält uns nicht ab.|The rain does not keep us from it.
Die Arterie ist verstopft.|The artery is blocked.
Die Öffnung ist klein.|The opening is small.
Der Sender sendet Nachrichten.|The broadcaster sends news.
Der Vogel gleitet durch die Luft.|The bird glides through the air.
Norwegen ist schön.|Norway is beautiful.
Er schildert die Szene.|He describes the scene.
Der Schrank ist groß.|The cabinet is large.
Der Terrorismus bedroht uns.|Terrorism threatens us.
Der Wechselkurs ist hoch.|The exchange rate is high.
Sie ballte die Faust.|She clenched her fist.
Der Flüchtling flüchtet.|The refugee flees.
Er lagert das Getreide.|He stores the grain.
Er übertreibt immer.|He always exaggerates.
Die Veröffentlichung ist wichtig.|The publication is important.
Der Bescheid ist da.|The information is here.
Das System versagt oft.|The system often fails.
Der Innenminister spricht.|The Minister of the Interior speaks.
Der Test war klinisch.|The test was clinical.
Das Paket wiegt viel.|The package weighs a lot.
Der Eingriff ist notwendig.|The intervention is necessary.
Das Essen ist indisch.|The food is Indian.

Psychologie ist interessant.|Psychology is interesting.
Die Digitalisierung schreitet voran.|The digitalization progresses.
Das ist meine Einsicht.|That is my view.
Das Fräulein ist jung.|The young lady is young.
Die Rose ist rot.|The rose is red.
Der Rückgang ist deutlich.|The decline is clear.
Das verwirrt mich.|That confuses me.
Sie stießen aufeinander.|They collided with each other.
Die Leute demonstrieren laut.|The people demonstrate loudly.
Das Programm wird eingeleitet.|The program is introduced.
Er entwirft das Gebäude.|He designs the building.
Hunderte kamen zur Party.|Hundreds came to the party.
Der Leib ist stark.|The body is strong.
Die Meinung ist objektiv.|The opinion is objective.
Das Rauchen schadet dir.|Smoking harms you.
Er blieb stumm.|He remained silent.
Tja, so ist das.|Well, that is how it is.
Der Zaun ist hoch.|The fence is high.
Der Empfänger ist unbekannt.|The recipient is unknown.
Die Hochzeit war schön.|The wedding was beautiful.
Das ist maßgeblich.|That is significant.
Das Quartal ist vorbei.|The quarter is over.
Die Spalte ist breit.|The fissure is wide.
Der Zettel ist verloren.|The note is lost.
Die Abgrenzung ist klar.|The boundary is clear.
Die Jacke ist warm.|The jacket is warm.
Ihre Präferenz ist klar.|Her preference is clear.
Wir stimmen überein.|We agree.
Die Unterscheidung ist wichtig.|The distinction is important.
Er liebt die Dichtung.|He loves poetry.
Er hält die Regeln ein.|He observes the rules.
Der Sachverhalt ist klar.|The facts are clear.
Sie arbeitet sorgfältig.|She works carefully.
Wir sprechen untereinander.|We speak among ourselves.
Der Hund ist unterhalb des Tisches.|The dog is underneath the table.
Er verdeutlicht den Plan.|He clarifies the plan.
Der Ertrag ist hoch.|The yield is high.
Der Finanzminister spricht im Parlament.|The finance minister speaks in parliament.
Der Vormittag war ruhig.|The morning was calm.
Achtzig Jahre sind vergangen.|Eighty years have passed.
Das Team ist dynamisch.|The team is dynamic.
Die Gerechtigkeit siegt.|Justice prevails.
Er stellt den Motor ab.|He turns off the engine.
Drogen sind gefährlich.|Drugs are dangerous.
Das Essen ist fett.|The food is greasy.
Wir verbrauchen viel Wasser.|We consume a lot of water.
Er wurde ausgewiesen.|He was expelled.
Das Metall biegt sich.|The metal bends.
Die Notwendigkeit ist klar.|The necessity is clear.
Die Reihenfolge ist wichtig.|The order is important.
Sie spazieren im Park.|They stroll in the park.
Er verweigert die Hilfe.|He refuses the help.
Die Zahlung ist fällig.|The payment is due.
Er argumentiert gut.|He argues well.
Der Athlet ist stark.|The athlete is strong.
Der Hund beißt nicht.|The dog does not bite.
Die Musik ist harmonisch.|The music is harmonious.
Wir treffen uns in der Kneipe.|We meet at the pub.
Das Konzert wurde abgesagt.|The concert was canceled.
Ihre Begeisterung ist ansteckend.|Her enthusiasm is contagious.
Das Problem wurde fix gelöst.|The problem was quickly solved.
Die Frucht ist reif.|The fruit is ripe.
Kanada ist groß.|Canada is large.
Der Philosoph lehrt an der Uni.|The philosopher teaches at the university.
Die Übersicht ist klar.|The overview is clear.
Er gibt die Nachricht weiter.|He passes on the message.
Der Zinssatz ist niedrig.|The interest rate is low.
Er hat das Abitur bestanden.|He passed the A levels.
Asien ist vielfältig.|Asia is diverse.
Er lässt ihn ein.|He lets him in.
Das ist eine nette Geste.|That is a nice gesture.
Die Vorgabe ist klar.|The guideline is clear.
Die Abschreibung ist hoch.|The depreciation is high.
Das Bild ist abstrakt.|The picture is abstract.
Das Gebäude ist ästhetisch.|The building is aesthetic.
Er schaltet das Licht ein.|He switches on the light.
Der Klang ist angenehm.|The sound is pleasant.
Er hat sich qualifiziert.|He has qualified.
Die Säule ist stark.|The pillar is strong.
Er übergibt das Paket.|He hands over the package.
Er klärt die Frage auf.|He clarifies the question.
Wir buchen das Hotel.|We book the hotel.
Er leidet an Depressionen.|He suffers from depression.
Er kündigt seinen Job.|He resigns from his job.
Die Veränderung ist strukturell.|The change is structural.
Die Anzeige ist auffällig.|The advertisement is noticeable.
Der Chinese ist freundlich.|The Chinese man is friendly.
Die Polizei nimmt den Täter fest.|The police arrest the culprit.
Er fährt mit der Arbeit fort.|He continues with the work.
Das Ziel ist realistisch.|The goal is realistic.
Das Gift war tödlich.|The poison was fatal.
Er unterschreibt den Vertrag.|He signs the contract.
Die Polizei verhaftet den Verdächtigen.|The police arrest the suspect.
Die Bombe explodierte.|The bomb exploded.
Heutzutage ist alles digital.|Nowadays everything is digital.
Die Hitze ist unerträglich.|The heat is unbearable.
Die Kammer ist klein.|The chamber is small.
Er notiert die Ergebnisse.|He notes the results.
Solidarität ist wichtig.|Solidarity is important.
Er ist besorgt um seine Gesundheit.|He is worried about his health.
Das Konto ist leer.|The account is empty.
Der Lärm ist laut.|The noise is loud.
Es gibt viele Optionen.|There are many options.
Der Rechner ist kaputt.|The computer is broken.
Das Schild ist groß.|The sign is large.
Die Show war fantastisch.|The show was fantastic.
Die Unruhe wächst.|The unrest is growing.
Der Sessel ist bequem.|The chair is comfortable.
Hessen liegt in Deutschland.|Hesse is in Germany.
Der Kindergarten ist voll.|The kindergarten is full.
Das Rätsel ist schwer.|The puzzle is difficult.
Der Song ist bekannt.|The song is well-known.
Soviel ich weiß, ist er da.|As far as I know, he is there.
Der Teufel ist böse.|The devil is evil.
Die Zielgruppe ist klar definiert.|The target group is clearly defined.
Der Anzug ist teuer.|The suit is expensive.
Er ist schwer erkrankt.|He is seriously ill.
Die Herrschaft war lang.|The reign was long.
Infolge des Sturms gab es Schäden.|As a result of the storm, there was damage.
Das Werkzeug ist nützlich.|The tool is useful.
Der Balkon ist oberhalb des Gartens.|The balcony is above the garden.
Der Schein täuscht.|The appearance is deceptive.
Er hat den Fehler übersehen.|He overlooked the mistake.
Die Bedrohung ist ernst.|The threat is serious.
Seine Bereitschaft zu helfen, ist groß.|His willingness to help is great.
Der Blutdruck ist normal.|The blood pressure is normal.
Die Front ist stabil.|The front is stable.
Die Arbeit ist physisch anstrengend.|The work is physically demanding.
Das Verbot wurde aufgehoben.|The ban was lifted.
Die Verschiebung war notwendig.|The postponement was necessary.
Die Daten liegen zugrunde.|The data form the basis.
Das Ergebnis weicht ab.|The result differs.
Ihre Empfehlung war hilfreich.|Her recommendation was helpful.
Er ist gespannt auf die Nachricht.|He is eager for the news.
Die Polizei stellt Beweise sicher.|The police confiscate evidence.
Sie redeten stundenlang.|They talked for hours.
Er verfasst einen Bericht.|He writes a report.
Die Vermittlung war erfolgreich.|The mediation was successful.
Der Wohlstand wächst.|Prosperity is growing.
Der Felsen ist groß.|The rock is large.
Das Paket ist inklusive Steuern.|The package includes taxes.
Seine kognitiven Fähigkeiten sind stark.|His cognitive abilities are strong.
Er hat seinerseits geantwortet.|He responded on his part.
Er steht dir zu.|He is entitled to it.
Das Kleid ist auffällig.|The dress is conspicuous.
Der Vulkan bricht aus.|The volcano erupts.
Die CD ist neu.|The CD is new.
Die Durchführung war schwierig.|The carrying out was difficult.
Sein Humor ist einzigartig.|His humor is unique.
Das Problem ist psychologisch.|The problem is psychological.
Der Hund ist treu.|The dog is faithful.
Die Erziehung ist wichtig.|Upbringing is important.
Er kommentiert das Spiel.|He comments on the game.
Wonach suchst du?|What are you looking for?
Die Datenbank ist umfangreich.|The database is extensive.
Die Meldung kam gestern.|The report came yesterday.
Der Premier spricht im Fernsehen.|The prime minister speaks on TV.
Die Zeichnung ist detailliert.|The drawing is detailed.
Er agiert schnell.|He acts quickly.
Der Befehl wurde ausgeführt.|The command was executed.
Der Christ betet.|The Christian prays.
Hi, wie geht's?|Hi, how are you?
Er schleppt den Koffer.|He drags the suitcase.
Der Treffer war perfekt.|The goal was perfect.
Der Helfer ist hier.|The helper is here.
Der Vizepräsident sprach gestern.|The vice president spoke yesterday.
Die Haustür ist offen.|The front door is open.
Die Landesregierung tagt heute.|The state government meets today.
Sein Verhalten war aggressiv.|His behavior was aggressive.
Das ist definitiv richtig.|That is definitely right.
Das Angebot lockt viele Kunden.|The offer lures many customers.
Das Feuer wurde gelöscht.|The fire was put out.
Die Mahlzeit war lecker.|The meal was delicious.
Er kam samt Familie.|He came along with his family.
Der Vertrag wurde vollzogen.|The contract was carried out.
Die Wiederholung hilft beim Lernen.|Repetition helps with learning.
Er brachte den Mut auf.|He raised the courage.
Das war einigermaßen gut.|That was fairly good.
Die Mitteilung ist wichtig.|The announcement is important.
Das Praktikum war lehrreich.|The internship was educational.
Er verzeichnete die Daten.|He recorded the data.
